"Status","Date and Time","Response Time (ms)","Error","Location"
"up","09/02/2014 02:39:51PM","1,330 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 02:34:51PM","455 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 02:29:51PM","630 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 02:24:52PM","1,667 ms","OK","Strasbourg (France)"
"up","09/02/2014 02:19:51PM","463 ms","OK","New York (NY)"
"up","09/02/2014 02:14:51PM","1,464 ms","OK","Seattle (WA)"
"up","09/02/2014 02:09:51PM","1,941 ms","OK","Vienna (Austria)"
"up","09/02/2014 02:04:51PM","557 ms","OK","Charlotte (NC)"
"up","09/02/2014 01:59:51PM","472 ms","OK","Philadelphia (PA)"
"up","09/02/2014 01:54:51PM","677 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 01:49:51PM","569 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 01:44:51PM","613 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 01:39:51PM","1,739 ms","OK","Strasbourg (France)"
"up","09/02/2014 01:34:51PM","601 ms","OK","New York (NY)"
"up","09/02/2014 01:29:51PM","1,524 ms","OK","Seattle (WA)"
"up","09/02/2014 01:24:51PM","3,138 ms","OK","Vienna (Austria)"
"up","09/02/2014 01:19:51PM","1,649 ms","OK","Charlotte (NC)"
"up","09/02/2014 01:14:51PM","500 ms","OK","Philadelphia (PA)"
"up","09/02/2014 01:09:51PM","616 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 01:04:51PM","1,481 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 12:59:51PM","649 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 12:54:51PM","732 ms","OK","Strasbourg (France)"
"up","09/02/2014 12:49:51PM","1,297 ms","OK","New York (NY)"
"up","09/02/2014 12:44:51PM","757 ms","OK","Seattle (WA)"
"up","09/02/2014 12:39:51PM","685 ms","OK","Vienna (Austria)"
"up","09/02/2014 12:34:51PM","572 ms","OK","Charlotte (NC)"
"up","09/02/2014 12:29:51PM","1,344 ms","OK","Philadelphia (PA)"
"up","09/02/2014 12:24:51PM","496 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 12:19:51PM","658 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 12:14:51PM","712 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 12:09:51PM","759 ms","OK","Strasbourg (France)"
"up","09/02/2014 12:04:51PM","560 ms","OK","New York (NY)"
"up","09/02/2014 11:59:51AM","585 ms","OK","Seattle (WA)"
"up","09/02/2014 11:54:51AM","1,856 ms","OK","Vienna (Austria)"
"up","09/02/2014 11:49:51AM","1,564 ms","OK","Charlotte (NC)"
"up","09/02/2014 11:44:51AM","355 ms","OK","Philadelphia (PA)"
"up","09/02/2014 11:39:51AM","1,287 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 11:34:51AM","547 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 11:29:51AM","1,626 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 11:24:51AM","831 ms","OK","Strasbourg (France)"
"up","09/02/2014 11:19:51AM","461 ms","OK","New York (NY)"
"up","09/02/2014 11:14:51AM","1,458 ms","OK","Seattle (WA)"
"up","09/02/2014 11:09:51AM","677 ms","OK","Vienna (Austria)"
"up","09/02/2014 11:04:51AM","1,306 ms","OK","Charlotte (NC)"
"up","09/02/2014 10:59:51AM","1,193 ms","OK","Philadelphia (PA)"
"up","09/02/2014 10:54:51AM","449 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 10:49:51AM","1,320 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 10:44:51AM","632 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 10:39:51AM","748 ms","OK","Strasbourg (France)"
"up","09/02/2014 10:34:51AM","919 ms","OK","New York (NY)"
"up","09/02/2014 10:29:51AM","718 ms","OK","Seattle (WA)"
"up","09/02/2014 10:24:51AM","1,572 ms","OK","Vienna (Austria)"
"up","09/02/2014 10:19:51AM","544 ms","OK","Charlotte (NC)"
"up","09/02/2014 10:14:51AM","458 ms","OK","Philadelphia (PA)"
